"time","GSR","pks","pwr"
500.1,3.2322,0,0
500.2,3.2322,0,0
500.3,3.2106,0,0
500.4,3.2106,0,0
500.5,3.1883,0,0
500.6,3.1883,0,0
500.7,3.1616,0,0
500.8,3.1616,0,0
500.9,3.1296,0,0
501,3.1296,0,0
501.1,3.1296,0,0
501.2,3.0964,0,0
501.3,3.0964,0,0
501.4,3.0602,0,0
501.5,3.0602,0,0
501.6,3.0266,0,0
501.7,3.0266,0,0
501.8,3.0266,0,0
501.9,2.9987,0,0
502,2.9987,0,0
502.1,2.9756,0,0
502.2,2.9756,0,0
502.3,2.9561,0,0
502.4,2.9561,0,0
502.5,2.9561,0,0
502.6,2.9411,0,0
502.7,2.9411,0,0
502.8,2.9303,0,0
502.9,2.9303,0,0
503,2.9212,0,0
503.1,2.9212,0,0
503.2,2.9138,0,0
503.3,2.9138,0,0
503.4,2.9138,0,0
503.5,2.9064,0,0
503.6,2.9064,0,0
503.7,2.8983,0,0
503.8,2.8983,0,0
503.9,2.8886,0,0
504,2.8886,0,0
504.1,2.8886,0,0
504.2,2.8797,0,0
504.3,2.8797,0,0
504.4,2.8725,0,0
504.5,2.8725,0,0
504.6,2.867,0,0
504.7,2.867,0,0
504.8,2.867,0,0
504.9,2.8622,0,0
505,2.8622,0,0
505.1,2.8582,0,0
505.2,2.8582,0,0
505.3,2.8543,0,0
505.4,2.8543,0,0
505.5,2.8543,0,0
505.6,2.8503,0,0
505.7,2.8503,0,0
505.8,2.8456,0,0
505.9,2.8456,0,0
506,2.8417,0,0
506.1,2.8417,0,0
506.2,2.8378,0,0
506.3,2.8378,0,0
506.4,2.8378,0,0
506.5,2.8346,0,0
506.6,2.8346,0,0
506.7,2.8323,0,0
506.8,2.8323,0,0
506.9,2.83,0,0
507,2.83,0,0
507.1,2.83,0,0
507.2,2.8276,0,0
507.3,2.8276,0,0
507.4,2.8245,0,0
507.5,2.8245,0,0
507.6,2.8207,0,0
507.7,2.8207,0,0
507.8,2.8207,0,0
507.9,2.8168,0,0
508,2.8168,0,0
508.1,2.8145,0,0
508.2,2.8145,0,0
508.3,2.816,0,0
508.4,2.816,0,0
508.5,2.823,0,0
508.6,2.823,0,0
508.7,2.823,0,0
508.8,2.8346,0,0
508.9,2.8346,0,0
509,2.8503,0,0
509.1,2.8503,0,0
509.2,2.8662,0,0
509.3,2.8662,0,0
